     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
    10.000   -10.892   275.265    311913855.000     0.000     0.000  2750.000      00  109982
    10.000   -11.732   294.185    335398995.000     0.000     0.000  2850.000      00  109982
    10.000   -12.686   315.469    362071404.000     0.000     0.000  2850.000      00  109982
    10.000   -13.640   336.534    388743813.000     0.000     0.000  2850.000      00  109982
    10.000   -15.548   378.012    442088631.000     0.000     0.000  2850.000      00  109982
    10.000   -17.456   418.619    495433449.000     0.000     0.000  2850.000      00  109982
    10.000   -19.364   458.358    548778267.000     0.000     0.000  2850.000      00  109982
    10.000   -21.000   491.742    594518373.000     0.000     0.000  2850.000      00  109982
    10.000   -23.179   537.744    657577543.500     0.000     0.000  2950.000      00  109982
    10.000   -25.087   577.636    712794109.500     0.000     0.000  2950.000      00  109982
    10.000   -26.995   617.170    768010675.500     0.000     0.000  2950.000      00  109982
    10.000   -28.903   656.345    823227241.500     0.000     0.000  2950.000      00  109982
    10.000   -30.811   695.161    878443807.500     0.000     0.000  2950.000      00  109982
    10.000   -31.995   719.068    912708175.500     0.000     0.000  2950.000      00  109982
    10.000   -34.627   744.187    997926305.504     7.946     4.536  3299.992      96    8545
    10.000   -37.489   771.126   1090566543.547     7.941     4.528  3298.918      96    9150
    10.000   -40.351   797.887   1183191430.412     7.939     4.521  3298.536      96   10055
    10.000   -43.213   824.409   1275812914.745     7.949     4.518  3298.973      96   10961
    10.000   -46.075   850.519   1368545793.783     7.956     4.517  3306.770      96   11566
    10.000   -48.937   876.261   1461402846.115     7.965     4.515  3307.332      96   12471
    10.000   -51.799   901.701   1554265173.225     7.957     4.506  3307.460      96   13075
    10.000   -54.661   926.835   1647131783.334     7.963     4.502  3307.661      96   13980
    10.000   -57.523   951.671   1739998723.664     7.955     4.493  3307.450      96   14585
    10.000   -60.384   976.262   1832831964.512     7.958     4.488  3307.523      96   15490
    10.000   -63.246  1000.600   1925718987.346     7.959     4.482  3308.883      96   16095
    10.000   -66.108  1024.731   2018641440.956     7.968     4.481  3309.604      96   16999
    10.000   -70.878  1064.521   2173525243.203     7.958     4.465  3309.824      96   18207
    10.000   -75.648  1103.667   2328447094.288     7.962     4.458  3310.953      96   19714
    10.000   -80.418  1142.118   2483373133.484     7.948     4.439  3310.687      96   20922
    10.000   -85.188  1179.648   2638330540.068     7.951     4.431  3312.025      96   22129
    10.000   -89.958  1215.867   2793336766.710     7.946     4.417  3312.626      96   23336
    10.000   -94.728  1250.249   2948394813.983     7.945     4.405  3314.030      96   24843
    10.000   -99.498  1282.246   3103494419.769     7.938     4.393  3314.940      96   26049
    10.000  -105.676  1320.000   3304465961.740     7.935     4.379  3316.681      96   27556
    10.000  -109.037  1326.722   3413817350.915     7.985     4.402  3317.884      99   27426
    10.000  -113.807  1336.262   3569187303.748     8.001     4.406  3322.400      99   28929
    10.000  -118.577  1345.802   3724748333.291     8.012     4.410  3326.371      99   30131
    10.000  -123.347  1355.342   3880497333.050     8.022     4.410  3330.284      99   31334
    10.000  -128.117  1364.882   4036440853.216     8.039     4.414  3334.540      99   32837
    10.000  -132.887  1374.422   4192563229.388     8.047     4.413  3338.227      99   34040
    10.000  -137.657  1383.962   4348864775.733     8.061     4.419  3342.072      99   35242
    10.000  -142.426  1393.500   4505322444.674     8.075     4.421  3346.171      99   36745
    10.000  -147.196  1400.717   4661996153.545     8.083     4.424  3350.153      99   37947
    10.000  -151.966  1402.968   4818872354.510     8.099     4.430  3354.670      99   39148
    10.000  -156.736  1405.219   4975972612.515     8.120     4.438  3359.577      99   40649
    10.000  -161.506  1407.469   5133285039.302     8.135     4.446  3364.005      99   41849
    10.000  -166.276  1409.720   5290807998.933     8.147     4.449  3368.416      99   43050
    10.000  -171.046  1411.971   5448549614.253     8.167     4.458  3373.201      99   44551
    10.000  -175.816  1414.221   5606498840.310     8.181     4.465  3377.542      99   45751
    10.000  -180.585  1416.471   5764631425.103     8.198     4.470  3382.294      99   47252
    10.000  -185.355  1418.722   5923003920.268     8.208     4.476  3386.627      99   48453
    10.000  -190.125  1420.973   6081582188.472     8.225     4.483  3390.933      99   49653
    10.000  -194.895  1423.223   6240375131.134     8.242     4.489  3395.633      99   51154
    10.000  -199.665  1425.474   6399372730.007     8.252     4.493  3399.917      99   52355
    10.000  -204.435  1427.725   6558582383.072     8.272     4.502  3404.540      99   53855
    10.000  -209.205  1429.975   6717996454.969     8.280     4.505  3408.870      99   55056
    10.000  -213.975  1432.226   6877625196.430     8.300     4.514  3413.553      99   56556
    10.000  -218.745  1434.477   7037458511.071     8.308     4.516  3417.828      99   57757
